root_630,pre,pos_x,pos_y,pos_z,cell_class,cell_type,known_nt,acetylcholine,gaba,glutamate,dopamine,serotonin,octopamine,num_nts,is_cotransmitter
720575940631095087,242.0,126100.0,42450.0,1608,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940629188507,171.0,118200.0,35860.0,1471,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940631118610,106.0,126000.0,42690.0,1625,DAN,PAM02,"dopamine, Nplp1, sNPF, sparkly, amnesiac, CG34136",False,False,False,True,False,False,1,False
720575940625185613,87.0,114300.0,36080.0,1016,DAN,PAM04,dopamine,False,False,False,True,False,False,1,False
720575940631730349,400.0,115600.0,32120.0,1400,DAN,PAM05,"dopamine, sparkly, Nplp1, amnesiac, CG43117, ion-transport peptide, nitric oxide",False,False,False,True,False,False,1,False
720575940621504794,507.0,114400.0,34580.0,1721,DAN,PAM05,"dopamine, sparkly, Nplp1, amnesiac, CG43117, ion-transport peptide, nitric oxide",False,False,False,True,False,False,1,False
720575940622996941,545.0,124700.0,41240.0,1632,DAN,PAM06,dopamine,False,False,False,True,False,False,1,False
720575940630828485,170.0,114200.0,36750.0,1016,DAN,PAM06,dopamine,False,False,False,True,False,False,1,False
720575940630465398,445.0,115000.0,36420.0,1399,DAN,PAM07,"dopamine, amnesiac, sparkly, Nplp1, Dh44",False,False,False,True,False,False,1,False
720575940638548021,381.0,115300.0,36400.0,1391,DAN,PAM07,"dopamine, amnesiac, sparkly, Nplp1, Dh44",False,False,False,True,False,False,1,False
720575940625338249,155.0,114100.0,35650.0,1202,DAN,PAM08,dopamine,False,False,False,True,False,False,1,False
720575940619251416,203.0,122800.0,40980.0,1560,DAN,PAM08,dopamine,False,False,False,True,False,False,1,False
720575940610569028,574.0,125400.0,41720.0,1614,DAN,PAM08,dopamine,False,False,False,True,False,False,1,False
720575940615816498,171.0,115400.0,35720.0,1574,DAN,PAM13,dopamine,False,False,False,True,False,False,1,False
720575940633142498,163.0,146400.0,39590.0,623,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940617145561,221.0,144700.0,35170.0,698,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940625525265,247.0,118500.0,35700.0,1485,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940637390302,189.0,138600.0,33220.0,715,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940628687207,207.0,108000.0,38360.0,1357,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940631443304,261.0,146600.0,36100.0,707,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940641062901,248.0,108600.0,39550.0,1186,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940645932579,220.0,126000.0,40550.0,1523,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940654661281,227.0,149900.0,37440.0,772,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940623442173,80.0,113200.0,33420.0,1205,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940621245124,237.0,118500.0,35590.0,1485,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940633733401,265.0,108100.0,36850.0,1388,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940625683716,182.0,118200.0,35790.0,1479,DAN,PAM01,"dopamine, nitric oxide",False,False,False,True,False,False,1,False
720575940613732271,167.0,118000.0,32270.0,1871,DAN,PAM02,"dopamine, Nplp1, sNPF, sparkly, amnesiac, CG34136",False,False,False,True,False,False,1,False
720575940621434145,193.0,107100.0,38420.0,1437,DAN,PAM04,dopamine,False,False,False,True,False,False,1,False
720575940620260800,482.0,118200.0,34480.0,1891,DAN,PAM05,"dopamine, sparkly, Nplp1, amnesiac, CG43117, ion-transport peptide, nitric oxide",False,False,False,True,False,False,1,False
720575940646288419,626.0,146100.0,39410.0,623,DAN,PAM05,"dopamine, sparkly, Nplp1, amnesiac, CG43117, ion-transport peptide, nitric oxide",False,False,False,True,False,False,1,False
720575940630166267,221.0,147200.0,38260.0,779,DAN,PAM06,dopamine,False,False,False,True,False,False,1,False
720575940628094663,392.0,113700.0,35240.0,1335,DAN,PAM07,"dopamine, amnesiac, sparkly, Nplp1, Dh44",False,False,False,True,False,False,1,False
720575940624545940,265.0,125900.0,39950.0,1626,DAN,PAM07,"dopamine, amnesiac, sparkly, Nplp1, Dh44",False,False,False,True,False,False,1,False
720575940643543200,408.0,115100.0,36030.0,1417,DAN,PAM07,"dopamine, amnesiac, sparkly, Nplp1, Dh44",False,False,False,True,False,False,1,False
720575940629379415,796.0,109500.0,37250.0,1272,DAN,PAM08,dopamine,False,False,False,True,False,False,1,False
720575940642744264,438.0,114800.0,35980.0,1396,DAN,PAM08,dopamine,False,False,False,True,False,False,1,False
720575940619299054,524.0,109000.0,38620.0,1222,DAN,PAM08,dopamine,False,False,False,True,False,False,1,False
720575940629960192,497.0,116700.0,33010.0,2399,DAN,PAM10,"dopamine, amnesiac, sparkly, Dh44, CG34136, Nplp1",False,False,False,True,False,False,1,False
